Resume_Text,Category
php laravel codeigniter mysql backend api web development,PHP Developer
php woocommerce plugin mysql rest api backend,PHP Developer
php backend development laravel mvc api,PHP Developer

java spring boot backend rest api microservices,Java Developer
java backend application development spring mvc,Java Developer
java enterprise application rest api,Java Developer

python machine learning pandas numpy flask data analysis,Data Scientist
python ai chatbot nlp opencv automation,Data Scientist
data analysis machine learning python flask,Data Scientist

hr recruitment payroll onboarding employee management,HR
hr hiring screening interview process,HR
human resource management payroll system,HR
